,Day,Month,Unnamed: 0,Name,Date,Content,year
4239,12,9,5087,长亭归来,2019年09月12日 03:05  来自 iPhone客户端,每天睡半夜已经习惯  睡眠 足导致  记忆力 下降，看 进书， 做 成事 昨天下班关   空调，随手把电瓶车钥匙放  电脑桌上 然后开始到处找钥匙，翻抽屉，没有 （因为怕遗忘，早已养成 一种习惯，常用物品 固定放 某个地方，无论 家 还  ）以为忘记拔，去车棚看，没有,2019
4240,12,9,5088,ChippyJonny,2019年09月12日 01:43  来自 荣耀手机 勇敢做自己,最近 气温大概  度左右 样子  走廊 制冷空调依然开 ，有点小冷 坐公交车时又觉得很热，然后发现它开 暖气  迷惑,2019
4241,12,9,5089,山重水复见,2019年09月12日 01:22  来自 小米Max2 大屏大电量,看到黑漆漆 城市， 想这城市 算 上繁华，噢，它 热闹 与 无关   很社会 一晚 h 眼睁睁看 末班车走 泰然等下一班，地铁大叔好心提醒该走    能接受没车 现实，接受指点后发足狂奔 号线  线停运还  能避免打车，省点路费罢  多亏R提醒打到 车，但路过卖花人没能赶上买,2019
4242,12,9,5090,六顺的顺六,2019年09月12日 00:36  来自 iPhone客户端,前两天去 郴州东江湖 这个天 东江湖水 冷得像 前男友 心 拔凉拔凉 劳改般 团建三天 无时无刻 想 回去  空调  工作多舒服  躺 家 多舒服      五点半起来拍 雾 脑壳  昏  顶 大太阳去拍 高椅岭 还有晕车晕到昏厥 到处飘 马粪香  仰天湖,2019
4243,11,9,5091,J米乐O,2019年09月11日 23:52  来自 vivo X23 AI非凡摄影,陪同乐乐 第二天第二天孩子已经有 很大 进步能大概分清楚周围 环境完成 一次独立 从教室到厕所 往返下课时间会想 出去玩对于周围充满 好奇对于上课和下课 铃声以及上课下课 概念 太清晰上课 常规  特别 好会自顾自 开小差而 从  空调到艳阳下 走廊从精致 妆,2019
4244,11,9,5092,乡村路上奔跑的小狗,2019年09月11日 23:47  来自 iPhone客户端,还   吹 空调上班舒服 茂名,2019
4245,11,9,5093,pinebao-,2019年09月11日 23:46  来自 微博 weibo.com,穿 大外套 围 颈枕 空调房 看网课舍友  干嘛呢裹成这样    坐久 肩膀一被空调吹 疼 感觉有空调病 十秒钟后 两位舍友叹气  哈 们叹啥气舍友 t l小小 纪 残,2019
4246,11,9,5094,小浣熊54321,2019年09月11日 21:53  来自 iPhone客户端,弟真 作精和破坏王本人 ，把  空调遥控器弄坏,2019
4247,11,9,5095,Flavior想要大晴天,2019年09月11日 21:51  来自 iPhone客户端,又 脏兮兮 一天 箱子 翻出来 手掌大 癞蛤蟆绝对  曾想过 情景 第三次还 第四次出来偷芦苇终于成功get 真·芦苇 如果曾经有料想过生活如此“南”，或许 还 更适合坐 吹空调动脑子吧,2019
4248,11,9,5096,只因我是蓝胖子,2019年09月11日 21:38  来自 iPhone客户端,中秋佳节啦，终于 忙 ，  吹吹空调，看看毒鸡汤，人生 这么被满足,2019
4249,11,9,5097,红笺小字2018,2019年09月11日 21:25  来自 华为Ascend Mate7,昨天午餐难得 好吃，师傅还发给 们两个小 饼，以示慰问 下课后， 小女生怯怯 递给 两小袋坚果零食  把这些小东西收藏进  抽屉 昨天 和比比悄悄溜到五楼  管怎样， 们总有办法找到一块清静 西北角一间  门虚掩  有空调，比比 可以 手机上下载 软件当遥控，她还  如,2019
4250,11,9,5098,只吃一口是不会胖滴,2019年09月11日 21:14  来自 Android,来姨妈， 居然吃 西瓜，吃 李子，  还得天天对 空调吹，真 怕 昨天肚子没疼够,2019
